Apertura;0.5;Apertura;1;Apertura;1.5;Apertura;2;Apertura;2.5;Apertura;3
U_B1#1 / V;I#1 / pA;U_B1#2 / V;I#2 / pA;U_B1#3 / V;I#3 / pA;U_B1#4 / V;I#4 / pA;U_B1#5 / V;I#5 / pA;U_B1#6 / V;I#6 / pA
-4;-0.2;-4;-0.4;-3.99;-0.7;-4;-1.1;-4;-1.5;-3.99;-1.9
-4;-0.2;-4;-0.4;-3.98;-0.7;-3.99;-1.1;-3.99;-1.5;-3.99;-1.9
-4;-0.2;-4;-0.4;-3.98;-0.7;-3.99;-1.1;-3.98;-1.5;-3.99;-1.9
-3.99;-0.2;-4;-0.4;-3.97;-0.7;-3.99;-1.1;-3.98;-1.5;-3.98;-1.9
-3.99;-0.2;-4;-0.4;-3.97;-0.7;-3.98;-1.1;-3.97;-1.5;-3.98;-1.9
-3.98;-0.2;-3.99;-0.4;-3.96;-0.7;-3.98;-1.1;-3.97;-1.5;-3.98;-1.9
-3.97;-0.2;-3.99;-0.4;-3.96;-0.7;-3.98;-1.1;-3.97;-1.5;-3.97;-1.9
-3.97;-0.1;-3.99;-0.4;-3.95;-0.7;-3.97;-1.1;-3.96;-1.5;-3.97;-1.8
-3.96;-0.1;-3.98;-0.4;-3.95;-0.7;-3.96;-1.1;-3.95;-1.5;-3.97;-1.8
-3.95;-0.1;-3.98;-0.4;-3.94;-0.7;-3.96;-1.1;-3.95;-1.5;-3.96;-1.8
-3.95;-0.1;-3.97;-0.4;-3.94;-0.7;-3.95;-1.1;-3.94;-1.5;-3.96;-1.8
-3.95;-0.1;-3.97;-0.4;-3.94;-0.7;-3.95;-1.1;-3.93;-1.5;-3.96;-1.8
-3.94;-0.1;-3.97;-0.4;-3.94;-0.7;-3.94;-1.1;-3.93;-1.5;-3.96;-1.8
-3.95;-0.1;-3.96;-0.4;-3.93;-0.7;-3.94;-1.1;-3.92;-1.5;-3.95;-1.8
-3.94;-0.1;-3.96;-0.4;-3.93;-0.7;-3.94;-1.1;-3.92;-1.5;-3.95;-1.8
-3.94;-0.1;-3.96;-0.4;-3.92;-0.7;-3.93;-1.1;-3.91;-1.5;-3.93;-1.8
-3.93;-0.1;-3.95;-0.4;-3.92;-0.7;-3.92;-1.1;-3.91;-1.5;-3.92;-1.8
-3.91;-0.1;-3.95;-0.4;-3.92;-0.7;-3.92;-1.1;-3.9;-1.5;-3.92;-1.8
-3.9;-0.1;-3.94;-0.4;-3.91;-0.7;-3.91;-1.1;-3.9;-1.5;-3.91;-1.8
-3.88;-0.1;-3.94;-0.4;-3.91;-0.7;-3.91;-1;-3.89;-1.5;-3.9;-1.8
-3.87;-0.1;-3.94;-0.4;-3.9;-0.7;-3.9;-1;-3.88;-1.5;-3.9;-1.8
-3.86;-0.1;-3.92;-0.4;-3.9;-0.7;-3.9;-1;-3.87;-1.5;-3.9;-1.8
-3.85;-0.1;-3.91;-0.4;-3.9;-0.7;-3.89;-1;-3.87;-1.5;-3.9;-1.8
-3.84;-0.1;-3.9;-0.4;-3.89;-0.7;-3.89;-1;-3.86;-1.5;-3.89;-1.8
-3.84;-0.1;-3.89;-0.3;-3.88;-0.7;-3.88;-1;-3.86;-1.5;-3.89;-1.8
-3.84;-0.1;-3.88;-0.3;-3.88;-0.7;-3.88;-1;-3.85;-1.5;-3.88;-1.8
-3.84;-0.1;-3.87;-0.3;-3.87;-0.7;-3.88;-1;-3.84;-1.5;-3.88;-1.8
-3.84;-0.1;-3.86;-0.3;-3.86;-0.7;-3.87;-1;-3.83;-1.4;-3.87;-1.8
-3.84;-0.1;-3.86;-0.3;-3.86;-0.7;-3.86;-1;-3.82;-1.4;-3.86;-1.8
