I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;
1.8;2.62;;1.85;2.76;;1.9;2.89;;1.95;3.02;;2;3.16;;2.05;3.3;;2.1;3.46;;2.16;3.62;;2.21;3.8;
U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;;U / V;I_e / mA;
7.4;0.45;;7.35;0.5;;6.7;0.45;;7.45;0.55;;6.75;0.45;;6.75;0.5;;6.8;0.5;;7.05;0.6;;7.45;0.65;
7.45;0.45;;7.35;0.55;;6.7;0.4;;7.45;0.55;;6.75;0.45;;6.75;0.45;;6.8;0.6;;7.1;0.65;;7.5;0.7;
7.45;0.45;;7.4;0.5;;6.75;0.45;;7.45;0.55;;6.75;0.45;;6.75;0.5;;6.8;0.55;;7.1;0.55;;7.45;0.65;
8.05;0.4;;7.4;0.5;;6.75;0.45;;7.85;0.55;;6.7;0.45;;6.75;0.5;;6.85;0.55;;7.1;0.6;;7.45;0.65;
8.35;0.55;;7.35;0.45;;6.75;0.45;;8.1;0.6;;6.7;0.45;;6.75;0.5;;6.8;0.6;;7.05;0.6;;7.45;0.6;
8.35;0.55;;7.35;0.5;;6.75;0.45;;8.15;0.65;;6.75;0.45;;6.75;0.5;;6.8;0.6;;7.1;0.55;;7.45;0.7;
8.5;0.55;;7.35;0.5;;6.75;0.45;;8.15;0.65;;6.75;0.45;;6.75;0.5;;6.85;0.55;;7.1;0.55;;7.95;0.65;
9;0.6;;7.45;0.5;;6.75;0.45;;8.2;0.7;;6.7;0.5;;6.8;0.5;;6.8;0.55;;7.05;0.6;;9;0.75;
9.15;0.6;;7.8;0.5;;6.75;0.45;;8.45;0.6;;6.65;0.55;;6.95;0.45;;6.8;0.55;;7.1;0.6;;9.4;0.9;
