B#1 / mT,U_H#1 / mV,B#2 / mT,U_H#2 / mV,B#3 / mT,U_H#3 / mV,B#4 / mT,U_H#4 / mV
33.15,0.3,33.3,4.2,31.95,5.55,31.95,6.75
33.15,1.2,33.3,4.05,32.1,5.55,31.95,7.05
33.3,1.35,33.3,4.35,32.1,4.05,31.95,7.05
33.15,0.9,33.3,4.35,31.95,4.05,31.95,6.9
33.3,0.6,33.3,4.05,31.95,4.05,32.1,5.25
33.3,0.9,33.3,3.6,31.95,4.35,36.6,6.3
33.15,0.75,33.3,4.65,32.1,4.95,42.75,8.4
33.3,1.35,33.15,3.6,32.1,3.75,50.25,9.75
33.15,1.35,33.15,3.45,31.95,4.8,54.75,10.2
33.15,1.65,33.3,3.75,31.95,5.55,58.5,12.15
33.15,0.15,33.15,3.15,31.95,5.55,60.45,11.85
33.15,1.05,33.3,3.45,34.05,4.95,64.5,12.45
33.15,0.45,33.3,3.75,38.55,5.25,65.4,13.2
33.3,0.6,33.3,4.35,39.45,7.5,65.55,13.05
33.3,0.45,33.3,4.2,42,7.35,68.55,13.65
33.3,0.45,33.9,3.15,43.5,7.65,76.2,15.3
33.15,0.6,38.7,3.9,45.6,8.25,77.4,15.9
34.95,0.15,40.5,4.35,49.5,7.2,82.95,16.05
35.85,0.3,43.95,4.5,50.7,8.4,87.9,17.25
37.65,0.45,43.8,5.25,50.85,9.3,88.05,17.1
41.1,1.95,44.25,4.95,52.5,9.75,90.6,17.55
40.65,1.05,47.85,6.75,54.15,9.15,91.95,18.45
41.4,1.2,49.2,5.1,57.3,9.9,94.05,18
43.8,1.65,50.55,6.6,57.45,9.9,95.85,19.05
43.8,1.65,50.55,5.85,61.2,9.75,97.05,19.05
44.55,2.25,53.85,6,65.55,11.25,97.95,18.3
47.85,2.25,55.05,5.85,65.25,10.35,99.3,19.8
47.25,3.15,58.35,6.9,66,11.85,101.85,19.95
48.75,2.25,57.9,7.05,66.6,12,104.25,19.8
49.95,3.45,61.95,7.8,72.15,12.75,105.45,20.25
50.85,1.95,63,7.05,72.6,13.5,107.4,20.7
51.9,3,63.6,7.05,73.2,13.8,108.3,21
52.8,3.3,66,8.1,77.85,13.65,108.15,21
53.7,2.55,67.2,7.8,81,15,109.05,20.85
54.9,3,67.5,7.05,81,14.55,110.1,20.85
55.65,3.45,69.6,8.4,81.3,13.05,111.3,22.2
57,4.05,73.65,8.85,85.35,14.55,114.3,21.6
58.35,4.05,75.45,9.15,85.65,15.45,115.35,22.35
61.35,4.35,76.35,9.3,87.15,16.05,115.35,21.45
62.25,4.5,78.9,9.3,87.9,15.9,115.65,22.35
64.95,4.95,82.35,11.55,88.35,16.65,118.2,22.35
66.3,5.4,82.2,10.05,89.55,16.95,119.7,23.4
66.45,5.25,85.65,9.75,90.6,16.35,120.45,22.95
68.25,5.4,88.5,10.2,93.3,17.7,122.55,23.85
69.9,5.1,88.05,10.35,93.75,17.1,124.2,23.25
73.5,6.15,91.35,10.8,96.45,17.55,125.85,23.55
73.05,5.7,91.5,10.8,98.4,18,128.25,24
74.55,5.85,92.85,11.55,98.4,17.7,127.8,23.85
76.5,6.15,93.6,11.85,99.75,18.75,128.1,23.85
78.15,5.55,98.25,11.4,101.55,16.8,130.95,25.05
82.5,6.75,97.5,12.45,103.95,19.35,131.85,25.5
81.6,7.35,99.3,11.4,104.7,19.35,134.4,25.2
82.5,7.2,102.75,13.35,108.6,19.35,136.05,26.1
84.45,7.5,104.55,12.45,108.75,20.7,136.05,26.25
85.05,7.35,106.65,13.2,109.95,20.55,137.25,26.85
87.9,7.95,107.4,13.2,111.9,20.85,137.7,26.55
88.05,7.2,109.65,13.35,115.05,21.3,138.45,27.15
91.05,8.25,110.4,13.2,115.8,21.45,141,27.9
93,8.55,110.85,13.35,116.1,21.3,144.6,27.45
93.9,7.95,113.55,14.1,117.9,20.7,146.1,28.65
96.45,8.85,117.6,14.7,120,22.05,145.8,28.35
97.2,9.15,117,14.55,120.3,21.9,145.95,28.8
98.7,9,118.65,14.55,121.05,22.35,147.3,28.5
101.4,9.45,120.45,14.7,122.85,22.05,147.6,28.35
104.55,10.05,122.4,14.4,124.05,22.5,149.1,29.1
106.95,9.45,124.95,15,124.2,22.65,151.95,30.3
109.2,10.8,125.25,14.7,127.5,23.7,152.85,30.75
110.1,10.65,127.05,15.15,127.2,22.8,155.4,30.6
111.45,10.95,127.5,15.3,127.65,23.7,156.9,31.05
114.45,10.95,128.4,15.3,131.55,24.6,158.4,31.5
115.2,10.65,131.1,15.3,132.15,24.15,160.8,31.8
117.45,11.55,132.45,16.05,132.6,24.6,161.55,31.8
117.9,11.7,132.9,15.9,134.7,24.6,163.65,32.4
120.15,12,136.05,16.65,135.9,24.6,165.75,33.3
121.95,12.6,136.5,17.1,136.05,24.6,166.8,32.55
123,12.3,137.1,16.5,137.1,25.05,167.55,33.15
125.25,12.9,137.7,17.7,138.9,25.2,170.4,34.2
126.6,13.35,138.9,16.8,140.7,25.5,173.25,34.35
128.25,13.35,139.8,17.25,143.55,26.55,173.55,35.1
129.6,13.2,142.95,17.25,143.55,26.25,174.75,34.5
