B#1 / mT,U_H#1 / mV,B#2 / mT,U_H#2 / mV,B#3 / mT,U_H#3 / mV,B#4 / mT,U_H#4 / mV
33,1.95,33.6,1.95,31.95,5.85,31.95,4.05
33,3.3,33.6,2.25,31.95,6,31.95,4.65
33,3.45,33.6,2.25,31.95,6.15,44.55,7.05
33.15,3.45,39.75,2.85,31.95,6.15,52.2,8.55
33,3.45,51,4.8,32.1,6.75,55.2,9.9
33,3.75,55.95,5.7,34.5,6.6,63.15,11.4
43.35,4.5,58.95,6.15,46.2,8.85,76.65,13.95
52.2,5.85,65.4,6.6,51.6,9.15,82.05,15.45
55.65,5.7,76.2,8.1,61.5,10.8,91.05,16.95
57.9,6.15,86.1,9.15,66.45,12,97.05,18
66.75,7.05,89.55,9.75,69.6,12.6,98.4,18.6
74.55,9.15,100.35,11.25,77.1,13.8,106.8,19.8
88.05,9.15,107.7,12.6,81.9,14.55,112.35,21.75
96.75,10.35,109.65,12.45,87,15.45,120.9,23.7
105.6,11.4,118.2,13.95,89.7,15.9,128.1,24.6
109.5,11.7,121.35,13.95,97.2,17.55,136.2,25.8
118.05,12.75,129.3,15.15,97.8,17.55,137.7,26.55
119.4,12.75,132.75,16.2,101.7,18.15,143.85,27
124.8,13.2,141,16.5,107.25,18.75,153,29.25
132.3,14.25,147.3,17.7,109.05,19.8,161.25,31.05
139.95,14.55,148.95,17.55,111,19.65,164.4,30.9
145.35,14.85,158.25,19.2,117.6,20.1,169.35,33
147.9,15.75,158.85,18.75,122.1,21,173.25,32.7
155.55,17.1,164.55,19.5,129.45,22.65,179.25,34.8
156.75,16.05,165.75,19.2,131.55,22.8,183.45,35.25
160.05,17.1,172.5,20.85,137.7,23.85,188.55,36.15
164.1,16.95,174.45,22.2,136.65,24,195.3,37.35
165.3,16.95,177.15,20.85,140.4,24.75,200.25,39
175.8,19.2,181.2,23.25,146.85,25.35,204.9,39.6
179.1,18.6,183.9,22.35,156.75,26.7,204.15,39.6
190.8,19.35,190.05,22.95,153.75,26.55,206.7,40.2
201.75,20.4,199.95,24,158.55,27.45,213.3,40.95
202.95,21.45,204.3,24.75,162.45,27.9,218.55,42.3
211.5,21.75,214.8,26.1,166.05,28.05,225.9,42.9
215.55,22.5,221.4,26.85,171.15,29.25,230.85,44.1
216.75,22.05,225.15,27.9,178.65,30.15,235.35,45.15
220.65,22.05,231,27.9,181.05,30.9,242.25,46.65
224.55,22.5,236.85,28.35,187.2,31.8,244.5,45.9
229.8,22.95,242.25,29.4,192.15,32.1,248.7,46.8
232.95,23.25,245.1,30.45,199.8,33.75,248.85,47.25
236.4,24.15,250.35,30.9,203.1,34.2,252,47.7
240.45,24.45,253.05,30.6,206.55,34.8,256.05,48.6
245.7,24.45,259.05,31.8,213.75,35.7,257.55,48.3
248.7,25.5,261.9,31.35,216.9,35.85,261.3,49.8
250.95,25.8,267.6,32.85,218.4,36.45,264.15,49.65
255.15,26.1,270.75,33,222.3,36.9,268.2,50.85
261,27.3,274.5,33.45,223.8,37.05,272.25,51.45
263.7,27.15,274.2,33.15,229.2,38.25,273.3,51.6
266.55,27.75,276.75,33,232.05,38.1,273.75,51.3
271.95,28.05,283.35,33.45,238.05,38.85,276,51.45
274.5,28.2,291,35.85,246.75,40.65,278.55,52.5
277.8,28.5,297.75,36,250.2,40.8,282.3,52.95
278.55,28.5,301.65,35.7,252.75,41.4,283.35,52.8
282.9,29.1,308.1,37.2,257.7,41.85,286.8,53.7
285.15,29.25,308.1,37.65,263.25,42.75,286.95,53.25
288.45,29.1,308.1,38.85,268.65,43.65,289.2,54.45
292.05,29.85,308.1,37.95,273,44.25,290.7,54.45
296.85,30.15,308.1,39.75,279.15,45.15,294,55.05
301.5,30.45,308.1,39.3,284.25,46.2,296.55,55.65
304.8,30.45,308.1,39,287.85,46.65,298.65,55.5
308.1,30.75,308.1,39.6,294.6,46.95,303.45,56.55
308.1,31.35,,,302.4,48.75,307.2,57
308.1,31.65,,,308.1,49.35,308.1,58.05
308.1,32.55,,,308.1,50.4,308.1,58.5
308.1,31.8,,,308.1,51.15,308.1,59.25
308.1,32.85,,,308.1,51.6,308.1,60.45
308.1,32.7,,,308.1,51.9,308.1,60.9
,,,,308.1,51.75,308.1,60.6
,,,,308.1,52.65,308.1,61.35
,,,,308.1,52.05,308.1,61.2
,,,,308.1,52.5,,
,,,,308.1,52.05,,
,,,,308.1,52.2,,
