I#1 / mA,U_H#1 / mV,I#2 / mA,U_H#2 / mV,I#3 / mA,U_H#3 / mV,I#4 / mA,U_H#4 / mV,I#5 / mA,U_H#5 / mV
2,0.45,2,0.45,2,2.7,2.5,3.45,2,5.1
2,0.9,2.5,0.45,2.5,2.7,2,3.15,2,5.1
2.5,0.45,7,6.6,2.5,3,1.5,3.3,2,4.8
1.5,1.2,7,6.3,2,2.85,2,3,2,4.95
1.5,0.75,7,6.6,2.5,2.85,2,3.6,2,5.1
2,0.75,7,6.9,2.5,2.85,2,3.45,1.5,4.95
1.5,1.05,8,7.95,2,3,1.5,3.75,3,6
2,1.05,8,8.85,2.5,2.85,3,6.3,3.5,8.55
2.5,0.75,9,10.05,2.5,4.05,4.5,7.35,4,10.35
2.5,0.3,10,10.5,3.5,5.85,5,10.8,5.5,12.45
2.5,1.05,10,12.15,4,6.75,6,11.55,6.5,15.45
2,0.45,10.5,12.15,5.5,8.55,6,13.8,7.5,18.3
2.5,0.75,12,13.65,6,9.3,6.5,14.85,7.5,19.5
2,0.75,12,13.65,6.5,10.35,8,16.2,8.5,21.3
2,1.05,12.5,14.25,7,11.4,8.5,17.7,9,22.65
3.5,1.65,13.5,15.75,7,11.55,8.5,18.75,9,24.9
3,1.8,14,16.5,7,12.45,9.5,19.8,10,26.85
3.5,1.95,15,18,8.5,14.25,10,21.3,10,27.9
4.5,2.55,15.5,18.75,8.5,15.3,10.5,22.2,11.5,28.95
5,3,16.5,19.95,9.5,16.2,10.5,23.85,12,31.35
5.5,2.85,17.5,20.85,10,17.55,12,25.5,12.5,32.55
5.5,3.6,17.5,20.85,10.5,18.45,12.5,27.75,13,33.75
7,4.05,17.5,21.9,11,19.2,13.5,28.95,14,36.9
6.5,4.5,18.5,22.35,11.5,19.95,13.5,29.85,15.5,39.15
6.5,4.65,18.5,23.1,11.5,20.4,15,33,16,41.85
7.5,5.25,19.5,23.85,12,20.85,15.5,33,16,42.9
8,4.95,19.5,24.75,13.5,22.95,15.5,34.2,16.5,44.7
8.5,5.85,21,25.05,14,24.75,15,34.65,17.5,45.3
8.5,5.85,21,26.25,15,26.4,17,36.45,18,47.4
9,5.55,22,26.7,16,28.2,17.5,37.95,19,49.8
9.5,6,22,27.3,16.5,29.55,17,38.55,20,52.35
9.5,6.6,23,28.2,16.5,30.45,18.5,39.75,20.5,53.25
10,7.05,23.5,28.5,17.5,30.6,18.5,41.4,21,55.2
10.5,7.35,23,29.4,17.5,31.5,19,42.15,21.5,56.7
10.5,7.8,24.5,30.15,19,33.45,20,43.8,22.5,58.2
12,7.8,24.5,30.6,19,33.6,20.5,45.15,22.5,59.25
12,8.25,25.5,31.8,20,35.7,21,46.2,22.5,60.75
11.5,8.1,25,32.55,20.5,36.6,21,47.85,23.5,62.7
12,9,25.5,32.55,20,36.9,22,49.05,24,63.9
13,9.3,26.5,32.55,21,37.65,22.5,49.5,24.5,64.95
13.5,9.3,27,34.05,21.5,38.1,22.5,51,25,66.15
13.5,9.6,28,34.65,21.5,38.4,23.5,52.8,25,67.65
14.5,10.2,28,35.7,22,38.7,25,54.75,26,68.85
15.5,10.8,29,36.15,22,39.9,25,55.8,26.5,69.75
15.5,10.95,29.5,36.75,22.5,40.8,24.5,56.25,27,72.6
16,11.1,29,37.35,23,41.1,26,58.35,27.5,73.65
16,11.7,29.5,36.45,24,42.75,25.5,58.95,28,75.9
15.5,11.7,29.5,36.6,24.5,43.65,26.5,58.2,29,77.4
17,11.4,29,36.75,25,44.55,26.5,59.55,29.5,77.1
16.5,11.55,29,37.05,25,45.15,27.5,60.6,29.5,77.4
17,12.45,29.5,37.35,26.5,46.95,27,61.35,29.5,76.8
17.5,12.6,29.5,36.75,26.5,47.55,28,62.85,29,77.55
17,12.75,,,27,48.75,28,64.35,29.5,77.1
17.5,12.3,,,28.5,49.95,29.5,65.7,29.5,76.95
18,12.6,,,28,49.95,29.5,65.4,29.5,77.55
17.5,12.6,,,28,51.15,29.5,65.25,29,77.4
19,13.5,,,29.5,52.5,29.5,65.4,29.5,77.85
20,13.8,,,29,52.5,29,65.25,,
20,14.55,,,29.5,52.2,29,65.85,,
21,14.7,,,29,52.2,28.5,65.4,,
21,14.85,,,29.5,52.95,29,65.1,,
21.5,15,,,29.5,52.65,28.5,65.7,,
21.5,15.15,,,29.5,52.05,29,65.4,,
22,15.45,,,29,52.05,29,65.7,,
22.5,15.75,,,,,29.5,65.25,,
22.5,15.75,,,,,,,,
22.5,15.75,,,,,,,,
23,16.05,,,,,,,,
23.5,16.35,,,,,,,,
23.5,16.5,,,,,,,,
23.5,16.8,,,,,,,,
24.5,16.8,,,,,,,,
25,18,,,,,,,,
26.5,18.45,,,,,,,,
27,19.05,,,,,,,,
26.5,18.75,,,,,,,,
27.5,19.8,,,,,,,,
28,20.1,,,,,,,,
29,20.1,,,,,,,,
29,20.55,,,,,,,,
29,20.85,,,,,,,,
29.5,21.15,,,,,,,,
29.5,20.85,,,,,,,,
29.5,20.85,,,,,,,,
29.5,20.4,,,,,,,,
29,20.7,,,,,,,,
29.5,20.7,,,,,,,,
29.5,20.85,,,,,,,,
29.5,20.4,,,,,,,,
29.5,20.55,,,,,,,,
29.5,21,,,,,,,,
29.5,19.95,,,,,,,,
29.5,20.25,,,,,,,,
29,20.25,,,,,,,,
29,20.4,,,,,,,,
29.5,20.55,,,,,,,,
29.5,20.1,,,,,,,,
29.5,20.25,,,,,,,,
29.5,19.95,,,,,,,,
