T (K),VH (mV)
305.9,63.7
307.5,63.9
309.1,63.5
311.8,63.3
314.6,63.1
318.0,62.8
321.1,62.8
323.5,62.2
326.1,61.5
328.6,61.1
331.4,60.4
334.5,59.8
337.3,58.4
340.9,57.3
343.6,55.8
346.4,54.3
349.5,51.8
353.1,49.2
355.1,46.8
357.6,43.7
359.8,41.5
362.0,37.8
364.3,35.3
365.9,32.5
367.7,29.6
369.7,26.7
371.6,24.5
373.4,21.5
375.6,19.0
377.4,16.4
379.3,13.6
380.9,12.0
382.1,9.8
384.1,8.0
385.9,5.9
387.8,4.3
390.2,3.0
392.8,1.0
395.1,-0.3
398.1,-1.8
400.5,-2.5
403.4,-3.8
405.6,-4.5
408.4,-5.2
411.1,-5.4
413.7,-5.6
416.4,-5.6
418.8,-6.0
420.6,-5.8
422.4,-5.8
424.3,-5.6
426.1,-5.4
427.9,-5.2
429.7,-4.5
431.3,-4.7
432.8,-4.7
434.8,-4.3
436.6,-4.3
438.2,-4.3
