E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0
-12.2,15,-12.2,17,-12.2,31,-12.2,17,-12.2,13,-12.2,18,-12.2,13,-12.2,13
-10.5,177,-10.5,159,-10.5,163,-10.5,116,-10.5,107,-10.5,122,-10.5,106,-10.5,94
-8.7,201,-8.7,153,-8.7,167,-8.7,144,-8.7,122,-8.7,125,-8.7,119,-8.7,105
-7.0,194,-7.0,167,-7.0,141,-7.0,163,-7.0,138,-7.0,120,-7.0,123,-7.0,92
-5.2,237,-5.2,166,-5.2,182,-5.2,186,-5.2,156,-5.2,126,-5.2,123,-5.2,113
-3.5,270,-3.5,206,-3.5,193,-3.5,187,-3.5,149,-3.5,144,-3.5,132,-3.5,97
-1.7,286,-1.7,237,-1.7,192,-1.7,171,-1.7,146,-1.7,134,-1.7,140,-1.7,128
0.0,289,0.0,219,0.0,231,0.0,182,0.0,171,0.0,158,0.0,161,0.0,135
1.8,355,1.8,224,1.8,200,1.8,179,1.8,185,1.8,158,1.8,159,1.8,137
3.5,411,3.5,230,3.5,231,3.5,190,3.5,179,3.5,184,3.5,158,3.5,128
5.3,400,5.3,254,5.3,231,5.3,198,5.3,179,5.3,164,5.3,153,5.3,152
7.0,594,7.0,254,7.0,243,7.0,206,7.0,179,7.0,176,7.0,168,7.0,155
8.8,631,8.8,261,8.8,252,8.8,250,8.8,211,8.8,197,8.8,170,8.8,173
10.5,684,10.5,277,10.5,224,10.5,260,10.5,228,10.5,204,10.5,185,10.5,144
12.3,674,12.3,265,12.3,269,12.3,241,12.3,193,12.3,204,12.3,182,12.3,170
14.0,765,14.0,256,14.0,266,14.0,252,14.0,216,14.0,223,14.0,191,14.0,165
15.8,730,15.8,301,15.8,277,15.8,252,15.8,261,15.8,201,15.8,180,15.8,189
17.5,664,17.5,318,17.5,270,17.5,267,17.5,213,17.5,220,17.5,219,17.5,162
19.3,629,19.3,319,19.3,318,19.3,258,19.3,243,19.3,239,19.3,232,19.3,180
21.0,606,21.0,310,21.0,280,21.0,273,21.0,250,21.0,256,21.0,208,21.0,259
22.8,576,22.8,330,22.8,313,22.8,284,22.8,247,22.8,227,22.8,203,22.8,194
24.5,603,24.5,362,24.5,323,24.5,295,24.5,261,24.5,255,24.5,237,24.5,213
26.3,613,26.3,346,26.3,335,26.3,301,26.3,297,26.3,262,26.3,238,26.3,244
28.0,571,28.0,376,28.0,322,28.0,344,28.0,308,28.0,228,28.0,218,28.0,229
29.8,503,29.8,343,29.8,350,29.8,324,29.8,289,29.8,267,29.8,239,29.8,223
31.5,448,31.5,338,31.5,321,31.5,310,31.5,294,31.5,273,31.5,230,31.5,194
33.3,393,33.3,332,33.3,322,33.3,328,33.3,284,33.3,263,33.3,213,33.3,241
35.0,409,35.0,367,35.0,304,35.0,320,35.0,285,35.0,273,35.0,227,35.0,243
