E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0,-14.0,0
-12.2,26,-12.2,8,-12.2,9,-12.2,3,-12.2,9,-12.2,7,-12.2,4,-12.2,6
-10.5,197,-10.5,116,-10.5,80,-10.5,62,-10.5,40,-10.5,44,-10.5,39,-10.5,23
-8.7,203,-8.7,134,-8.7,88,-8.7,58,-8.7,58,-8.7,49,-8.7,41,-8.7,26
-7.0,207,-7.0,114,-7.0,85,-7.0,65,-7.0,59,-7.0,43,-7.0,40,-7.0,33
-5.2,248,-5.2,122,-5.2,79,-5.2,77,-5.2,51,-5.2,28,-5.2,45,-5.2,41
-3.5,272,-3.5,158,-3.5,104,-3.5,101,-3.5,62,-3.5,61,-3.5,49,-3.5,33
-1.7,297,-1.7,147,-1.7,111,-1.7,81,-1.7,64,-1.7,60,-1.7,52,-1.7,40
0.0,303,0.0,160,0.0,109,0.0,87,0.0,71,0.0,48,0.0,42,0.0,42
1.8,351,1.8,187,1.8,124,1.8,93,1.8,71,1.8,50,1.8,53,1.8,40
3.5,372,3.5,158,3.5,96,3.5,107,3.5,61,3.5,48,3.5,51,3.5,46
5.3,435,5.3,191,5.3,119,5.3,97,5.3,73,5.3,61,5.3,51,5.3,66
7.0,598,7.0,165,7.0,132,7.0,109,7.0,77,7.0,57,7.0,67,7.0,59
8.8,684,8.8,191,8.8,141,8.8,94,8.8,89,8.8,74,8.8,67,8.8,51
10.5,652,10.5,204,10.5,135,10.5,99,10.5,82,10.5,68,10.5,77,10.5,59
12.3,693,12.3,173,12.3,160,12.3,110,12.3,89,12.3,89,12.3,74,12.3,62
14.0,813,14.0,198,14.0,146,14.0,105,14.0,100,14.0,72,14.0,65,14.0,59
15.8,784,15.8,227,15.8,168,15.8,108,15.8,86,15.8,83,15.8,76,15.8,67
17.5,701,17.5,234,17.5,165,17.5,115,17.5,110,17.5,108,17.5,90,17.5,68
19.3,666,19.3,243,19.3,152,19.3,136,19.3,113,19.3,109,19.3,98,19.3,80
21.0,624,21.0,253,21.0,186,21.0,178,21.0,111,21.0,77,21.0,92,21.0,94
22.8,601,22.8,268,22.8,165,22.8,162,22.8,100,22.8,94,22.8,84,22.8,99
24.5,580,24.5,235,24.5,169,24.5,160,24.5,130,24.5,100,24.5,93,24.5,90
26.3,577,26.3,255,26.3,203,26.3,147,26.3,133,26.3,110,26.3,103,26.3,102
28.0,546,28.0,282,28.0,186,28.0,167,28.0,138,28.0,133,28.0,123,28.0,92
29.8,521,29.8,258,29.8,189,29.8,154,29.8,139,29.8,134,29.8,112,29.8,104
31.5,428,31.5,264,31.5,179,31.5,128,31.5,137,31.5,130,31.5,90,31.5,97
33.3,401,33.3,272,33.3,225,33.3,159,33.3,130,33.3,104,33.3,94,33.3,100
35.0,405,35.0,244,35.0,205,35.0,144,35.0,156,35.0,119,35.0,120,35.0,100
36.8,424,36.8,288,36.8,229,36.8,169,36.8,141,36.8,125,36.8,103,36.8,111
38.5,446,38.5,316,38.5,209,38.5,161,38.5,134,38.5,133,38.5,117,38.5,99
40.3,443,40.3,288,40.3,249,40.3,208,40.3,171,40.3,112,40.3,134,40.3,117
42.0,489,42.0,315,42.0,246,42.0,201,42.0,164,42.0,146,42.0,128,42.0,128
43.8,523,43.8,332,43.8,240,43.8,201,43.8,167,43.8,158,43.8,161,43.8,136
45.5,546,45.5,326,45.5,233,45.5,209,45.5,199,45.5,130,45.5,152,45.5,129
47.3,607,47.3,362,47.3,272,47.3,216,47.3,187,47.3,161,47.3,159,47.3,135
49.0,633,49.0,331,49.0,275,49.0,227,49.0,177,49.0,170,49.0,164,49.0,171
50.8,737,50.8,313,50.8,282,50.8,237,50.8,209,50.8,188,50.8,181,50.8,182
52.5,875,52.5,333,52.5,266,52.5,247,52.5,211,52.5,209,52.5,194,52.5,178
54.3,1221,54.3,345,54.3,302,54.3,268,54.3,242,54.3,221,54.3,192,54.3,172
56.0,1432,56.0,387,56.0,317,56.0,287,56.0,241,56.0,225,56.0,206,56.0,176
57.8,1770,57.8,419,57.8,349,57.8,264,57.8,270,57.8,221,57.8,236,57.8,220
59.5,1840,59.5,414,59.5,355,59.5,262,59.5,250,59.5,274,59.5,250,59.5,226
61.3,1673,61.3,451,61.3,348,61.3,325,61.3,300,61.3,255,61.3,256,61.3,234
63.0,1341,63.0,450,63.0,356,63.0,308,63.0,302,63.0,322,63.0,256,63.0,253
64.8,1024,64.8,502,64.8,398,64.8,321,64.8,314,64.8,307,64.8,270,64.8,268
66.5,821,66.5,500,66.5,416,66.5,392,66.5,320,66.5,303,66.5,297,66.5,276
68.3,696,68.3,569,68.3,434,68.3,366,68.3,384,68.3,318,68.3,282,68.3,323
70.0,670,70.0,542,70.0,530,70.0,437,70.0,371,70.0,384,70.0,324,70.0,344
71.8,682,71.8,649,71.8,502,71.8,449,71.8,449,71.8,401,71.8,376,71.8,354
73.5,671,73.5,661,73.5,525,73.5,499,73.5,474,73.5,390,73.5,395,73.5,378
75.3,711,75.3,699,75.3,562,75.3,490,75.3,450,75.3,379,75.3,404,75.3,304
