&b / deg,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s
2.5,7.6,8.9,11.3,12.6
2.6,6.1,9.2,10.9,12.4
2.7,5.2,7.8,10.4,12.8
2.8,5.1,8.0,10.7,14.8
2.9,7.2,8.1,11.1,15.1
3.0,6.1,8.5,9.7,13.1
3.1,5.7,9.1,10.1,13.8
3.2,7.4,9.2,10.9,15.5
3.3,7.1,8.7,14.7,16.6
3.4,10.2,11.4,16.3,18.7
3.5,28.5,30.9,37.2,42.5
3.6,79.4,85.9,103.4,139.7
3.7,158.0,176.0,224.7,289.5
3.8,223.1,277.9,354.2,464.5
3.9,294.1,390.0,485.2,632.3
4.0,359.6,485.1,612.5,751.8
4.1,413.7,559.0,697.9,868.1
4.2,456.9,613.6,796.8,952.2
4.3,477.0,677.0,840.7,1015.5
4.4,515.2,699.9,876.3,1080.0
4.5,514.1,720.9,921.1,1114.7
4.6,517.8,746.5,945.4,1149.0
4.7,531.4,758.6,961.8,1182.2
4.8,558.9,774.1,977.4,1173.1
4.9,541.6,765.9,998.4,1175.7
5.0,552.4,774.8,982.4,1204.7
5.1,551.9,764.6,1000.5,1200.9
5.2,546.7,771.5,979.1,1185.2
5.3,548.0,778.2,976.8,1194.6
5.4,529.2,743.0,953.5,1151.7
5.5,525.2,757.9,954.6,1156.1
5.6,506.1,753.0,925.5,1130.4
5.7,489.8,739.7,938.6,1104.4
5.8,492.5,707.3,911.2,1086.9
5.9,475.1,683.1,872.8,1065.0
6.0,484.3,703.5,903.7,1079.4
6.1,568.3,809.8,1036.2,1220.5
6.2,807.9,1097.5,1365.5,1620.9
6.3,945.3,1296.5,1618.3,1907.7
6.4,861.9,1191.2,1511.3,1784.0
6.5,663.4,963.5,1230.8,1461.4
6.6,514.4,730.4,939.8,1136.9
6.7,440.9,631.3,816.7,991.3
6.8,434.9,620.5,807.3,971.8
6.9,622.4,889.8,1106.4,1309.4
7.0,1293.6,1710.3,2082.0,2417.7
7.1,1783.4,2329.7,2837.3,3279.6
7.2,1638.7,2199.1,2718.3,3172.3
7.3,1174.5,1640.0,2068.8,2462.2
7.4,637.5,921.1,1210.6,1438.9
7.5,410.8,596.3,767.4,934.1
7.6,316.5,459.3,577.3,736.9
7.7,272.7,406.3,527.8,646.5
7.8,269.0,381.5,504.4,636.8
7.9,260.7,379.9,492.7,602.0
8.0,252.5,360.9,464.8,580.9
8.1,229.4,353.1,459.7,555.7
8.2,242.9,339.8,437.4,526.0
8.3,220.9,321.4,420.8,521.6
8.4,211.7,315.4,411.3,504.3
8.5,205.4,299.6,403.1,485.0
8.6,194.5,296.8,373.8,464.5
8.7,189.2,274.6,377.4,460.6
8.8,191.1,274.9,356.1,428.4
8.9,179.0,259.3,330.7,424.4
9.0,175.3,250.1,334.9,411.3
9.1,163.0,246.5,311.6,389.1
9.2,159.7,237.3,304.5,378.8
9.3,148.5,211.1,285.6,362.7
9.4,140.9,199.0,280.9,344.4
9.5,132.9,202.1,268.8,341.0
9.6,129.4,194.2,252.8,319.9
9.7,125.7,185.4,238.0,296.5
9.8,121.4,187.9,233.3,292.8
9.9,116.1,171.4,217.6,284.7
10.0,115.8,171.2,230.3,272.0
10.1,114.9,162.2,206.9,267.3
10.2,105.2,159.6,207.0,255.3
10.3,101.9,152.2,205.4,254.0
10.4,98.1,151.6,191.2,245.1
10.5,102.4,147.9,190.4,231.9
10.6,91.4,133.8,186.2,223.3
10.7,94.0,142.5,183.7,233.1
10.8,90.1,134.2,187.8,218.1
10.9,86.2,131.9,176.9,212.0
11.0,88.9,127.9,177.8,215.4
11.1,83.5,125.4,167.8,202.0
11.2,83.8,122.7,163.3,208.9
11.3,84.6,118.0,162.1,198.3
11.4,81.7,118.8,157.6,193.6
11.5,79.9,116.4,157.7,193.2
11.6,82.5,115.4,150.9,185.2
11.7,74.7,116.6,155.9,197.8
11.8,79.5,114.1,144.6,190.4
11.9,73.9,111.1,152.6,183.1
12.0,75.8,113.5,151.4,182.5
12.1,76.0,108.9,149.0,185.6
12.2,73.4,109.1,145.8,178.5
12.3,78.6,100.7,138.9,177.7
12.4,76.4,111.6,148.5,188.8
12.5,83.7,123.4,163.5,208.7
