&b / deg,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s
2.5,1.0,1.4,5.6,11.6,13.7
2.6,0.5,1.6,6.5,9.8,13.5
2.7,0.7,2.3,4.3,11.0,13.2
2.8,0.3,1.3,3.8,10.5,14.4
2.9,0.7,2.1,4.9,9.6,16.1
3.0,0.9,1.3,5.7,12.5,12.3
3.1,0.6,1.1,4.3,10.9,15.6
3.2,1.0,1.5,5.0,11.0,15.0
3.3,0.5,1.7,5.0,12.1,18.7
3.4,0.7,1.7,4.0,11.7,23.0
3.5,0.7,1.6,5.5,13.5,54.2
3.6,0.6,1.8,6.2,16.8,160.0
3.7,0.9,2.4,5.4,33.5,321.9
3.8,0.5,1.9,5.0,98.2,491.2
3.9,0.4,1.6,4.8,220.1,656.1
4.0,0.4,1.3,5.2,377.2,787.9
4.1,0.8,1.2,4.3,511.0,916.0
4.2,0.5,1.8,5.4,639.7,1002.9
4.3,1.0,1.4,5.7,740.5,1073.4
4.4,0.7,1.8,9.8,844.1,1104.4
4.5,0.7,1.2,22.5,883.3,1139.9
4.6,0.3,1.7,70.3,933.7,1176.9
4.7,0.7,1.4,146.1,956.7,1196.5
4.8,0.5,0.9,246.7,996.7,1210.2
4.9,0.6,1.8,330.0,1029.1,1207.9
5.0,0.9,1.7,405.3,1028.5,1227.8
5.1,0.9,1.2,469.1,1050.5,1229.2
5.2,0.6,2.5,519.3,1056.4,1225.0
5.3,0.6,1.7,554.7,1038.8,1208.5
5.4,0.4,1.9,576.4,1031.5,1175.3
5.5,0.8,2.3,602.6,1034.0,1144.8
5.6,0.7,6.3,636.8,1009.4,1148.4
5.7,0.6,23.7,621.0,1002.0,1129.9
5.8,0.6,51.8,627.2,992.7,1117.1
5.9,1.2,93.2,627.1,970.0,1097.7
6.0,0.9,143.6,643.6,971.2,1073.8
6.1,1.1,179.5,677.9,1082.8,1230.4
6.2,0.4,220.7,822.5,1368.6,1603.0
6.3,0.3,245.7,942.9,1664.6,1907.2
6.4,0.6,276.9,934.2,1567.7,1837.4
6.5,1.1,278.7,823.0,1314.7,1536.8
6.6,1.1,277.2,691.5,1030.1,1178.6
6.7,0.7,270.4,620.0,890.8,1000.6
6.8,0.9,282.3,600.3,877.8,976.1
6.9,1.0,291.8,678.9,1125.9,1290.0
7.0,0.2,317.4,1083.8,2049.7,2381.4
7.1,0.7,359.7,1511.0,2802.5,3316.7
7.2,0.7,359.6,1538.0,2760.9,3292.1
7.3,0.8,318.3,1231.2,2165.5,2569.9
7.4,1.2,293.9,806.3,1291.2,1547.3
7.5,1.8,265.4,558.4,833.5,978.6
7.6,8.6,247.1,455.3,656.3,754.2
7.7,13.8,237.6,403.8,560.6,663.5
7.8,23.2,231.2,397.8,533.4,658.0
7.9,27.1,216.8,380.6,507.4,618.3
8.0,40.9,206.8,351.2,481.6,590.3
8.1,44.2,193.1,333.1,480.8,573.2
8.2,48.8,184.8,305.3,452.2,555.8
8.3,47.1,177.2,292.3,447.0,534.3
8.4,49.2,173.3,275.4,440.1,511.3
8.5,50.6,159.0,254.2,400.7,499.5
8.6,47.0,151.3,246.1,403.2,472.8
8.7,47.3,142.4,222.3,386.4,461.4
8.8,47.0,131.4,209.1,383.6,449.7
8.9,47.5,127.0,190.7,353.2,424.6
9.0,49.4,117.2,184.6,344.9,408.9
9.1,41.9,108.3,158.7,351.0,398.7
9.2,42.3,101.0,155.5,320.6,384.3
9.3,37.1,88.2,146.0,321.4,363.2
9.4,37.1,83.9,135.2,298.4,342.6
9.5,31.5,75.1,126.9,281.6,335.9
9.6,31.2,70.7,128.2,268.1,329.0
9.7,27.3,63.5,118.9,248.6,308.6
9.8,27.0,59.2,118.9,249.1,299.7
9.9,23.3,50.6,118.7,244.7,281.3
10.0,25.1,47.9,122.1,240.1,281.6
10.1,19.8,44.0,117.2,226.8,268.2
10.2,19.0,41.8,113.0,227.5,260.0
10.3,16.9,35.8,113.0,221.8,248.9
10.4,18.7,29.2,116.4,214.9,247.1
10.5,15.5,28.3,113.1,207.6,236.2
10.6,13.4,27.1,115.0,199.4,238.7
10.7,15.0,29.2,110.5,199.7,235.6
10.8,12.7,23.2,108.6,185.6,222.3
10.9,12.5,18.8,110.7,184.3,214.9
11.0,9.5,18.4,106.0,187.9,205.5
11.1,10.5,19.6,102.0,182.6,215.0
11.2,9.0,18.9,97.4,170.5,205.4
11.3,7.5,16.1,103.4,172.4,203.7
11.4,7.5,13.3,98.2,164.7,201.0
11.5,5.8,12.9,94.9,160.6,196.9
11.6,5.4,10.3,100.3,157.8,194.2
11.7,3.8,11.9,95.3,163.3,196.3
11.8,4.1,13.9,92.2,152.6,194.7
11.9,3.1,16.1,88.6,155.2,186.5
12.0,4.4,17.7,93.2,151.9,192.0
12.1,4.3,19.0,88.0,153.8,190.5
12.2,2.6,20.6,85.7,149.5,181.4
12.3,2.7,21.3,90.6,143.6,179.6
12.4,3.1,27.0,85.2,155.3,178.3
12.5,2.9,27.1,96.8,163.5,203.1
