x,lum_5000_mA,lum_5500_mA,lum_6000_mA,lum_6500_mA,lum_7000_mA,lum_7500_mA
1.214207E2,1.066676E2,1.090978E2,1.094670E2,1.105950E2,1.102871E2,1.093485E2
1.204207E2,1.064570E2,1.099742E2,1.088813E2,1.106088E2,1.099914E2,1.102576E2
1.194207E2,1.063165E2,1.110848E2,1.083279E2,1.112290E2,1.097467E2,1.109809E2
1.184207E2,1.065494E2,1.123697E2,1.081657E2,1.129684E2,1.106272E2,1.115863E2
1.174207E2,1.071214E2,1.130777E2,1.092877E2,1.150156E2,1.137961E2,1.134669E2
1.164207E2,1.079384E2,1.134090E2,1.119269E2,1.169746E2,1.190020E2,1.168953E2
1.154207E2,1.086516E2,1.134561E2,1.145508E2,1.181278E2,1.243689E2,1.205377E2
1.144207E2,1.092238E2,1.130963E2,1.184212E2,1.229628E2,1.286899E2,1.264456E2
1.134207E2,1.094167E2,1.140208E2,1.218083E2,1.274932E2,1.315493E2,1.298975E2
1.124207E2,1.110913E2,1.161378E2,1.256163E2,1.308253E2,1.324714E2,1.312558E2
1.114207E2,1.143329E2,1.192877E2,1.298589E2,1.343291E2,1.331569E2,1.324050E2
1.104207E2,1.187420E2,1.228291E2,1.329157E2,1.358714E2,1.327343E2,1.320897E2
1.094207E2,1.231719E2,1.256451E2,1.336632E2,1.346630E2,1.314409E2,1.298744E2
1.084207E2,1.264924E2,1.279880E2,1.325217E2,1.313935E2,1.293228E2,1.267314E2
1.074207E2,1.282074E2,1.291147E2,1.307764E2,1.280187E2,1.273999E2,1.239543E2
1.064207E2,1.270549E2,1.286320E2,1.288564E2,1.255539E2,1.267591E2,1.229322E2
1.054207E2,1.247745E2,1.275626E2,1.287273E2,1.242849E2,1.264403E2,1.235518E2
1.044207E2,1.227722E2,1.260980E2,1.292794E2,1.248820E2,1.268981E2,1.239678E2
1.034207E2,1.212525E2,1.250446E2,1.305245E2,1.267217E2,1.280509E2,1.252476E2
1.024207E2,1.213124E2,1.252106E2,1.324374E2,1.295203E2,1.298478E2,1.275747E2
1.014207E2,1.235018E2,1.266604E2,1.345249E2,1.327810E2,1.324442E2,1.308988E2
1.004207E2,1.272495E2,1.292041E2,1.359930E2,1.360138E2,1.353363E2,1.342857E2
9.942073E1,1.303697E2,1.313284E2,1.369464E2,1.383259E2,1.375235E2,1.368827E2
9.842073E1,1.319853E2,1.339213E2,1.365273E2,1.382413E2,1.379758E2,1.370702E2
9.742073E1,1.308409E2,1.343694E2,1.353733E2,1.374850E2,1.368256E2,1.337940E2
9.642073E1,1.297760E2,1.321541E2,1.344261E2,1.358343E2,1.343398E2,1.300273E2
9.542073E1,1.274030E2,1.294567E2,1.324766E2,1.325230E2,1.316064E2,1.257794E2
9.442073E1,1.242370E2,1.269681E2,1.300966E2,1.290145E2,1.296137E2,1.232840E2
9.342073E1,1.226877E2,1.260003E2,1.295216E2,1.277481E2,1.295676E2,1.239990E2
9.242073E1,1.242950E2,1.270694E2,1.319222E2,1.298868E2,1.309443E2,1.272321E2
9.142073E1,1.273540E2,1.289151E2,1.357141E2,1.335595E2,1.327106E2,1.305881E2
9.042073E1,1.343241E2,1.329571E2,1.395334E2,1.364555E2,1.353007E2,1.339439E2
8.942073E1,1.401715E2,1.390497E2,1.429335E2,1.435153E2,1.407745E2,1.397057E2
8.842073E1,1.427373E2,1.432931E2,1.477682E2,1.513617E2,1.463617E2,1.447226E2
8.742073E1,1.451951E2,1.462411E2,1.521497E2,1.560979E2,1.518693E2,1.502520E2
8.642073E1,1.451306E2,1.485779E2,1.536765E2,1.571865E2,1.544870E2,1.531184E2
8.542073E1,1.419288E2,1.484217E2,1.515699E2,1.552884E2,1.532597E2,1.520370E2
8.442073E1,1.362712E2,1.428897E2,1.467894E2,1.492428E2,1.488701E2,1.477478E2
8.342073E1,1.307714E2,1.338786E2,1.420069E2,1.408407E2,1.442185E2,1.429686E2
8.242073E1,1.263688E2,1.298267E2,1.378798E2,1.354707E2,1.391587E2,1.376941E2
8.142073E1,1.243231E2,1.289280E2,1.342691E2,1.330808E2,1.349792E2,1.339550E2
8.042073E1,1.220078E2,1.278649E2,1.313226E2,1.315835E2,1.319633E2,1.316390E2
7.942073E1,1.195364E2,1.264940E2,1.288828E2,1.296067E2,1.291517E2,1.287406E2
7.842073E1,1.178654E2,1.252434E2,1.278232E2,1.268976E2,1.273661E2,1.262306E2
7.742073E1,1.171801E2,1.241283E2,1.271629E2,1.237470E2,1.262365E2,1.246355E2
7.642073E1,1.172197E2,1.232381E2,1.264876E2,1.211417E2,1.251856E2,1.239450E2
7.542073E1,1.175925E2,1.227871E2,1.261747E2,1.198622E2,1.240788E2,1.238676E2
7.442073E1,1.157109E2,1.210176E2,1.255305E2,1.190850E2,1.222381E2,1.231052E2
7.342073E1,1.144559E2,1.197441E2,1.241273E2,1.190541E2,1.217691E2,1.219082E2
7.242073E1,1.144486E2,1.195394E2,1.226628E2,1.207641E2,1.229600E2,1.216168E2
7.142073E1,1.145373E2,1.192842E2,1.215002E2,1.210488E2,1.231704E2,1.216583E2
7.042073E1,1.147275E2,1.192668E2,1.209476E2,1.202372E2,1.231186E2,1.225403E2
6.942073E1,1.150085E2,1.193305E2,1.215490E2,1.211459E2,1.251015E2,1.249792E2
6.842073E1,1.153826E2,1.196095E2,1.225326E2,1.255104E2,1.296644E2,1.286550E2
6.742073E1,1.158927E2,1.199740E2,1.235185E2,1.310996E2,1.348388E2,1.319699E2
6.642073E1,1.178523E2,1.213328E2,1.298160E2,1.399493E2,1.427718E2,1.368900E2
6.542073E1,1.209115E2,1.243533E2,1.402521E2,1.463507E2,1.493566E2,1.435308E2
6.442073E1,1.256141E2,1.290217E2,1.478861E2,1.493401E2,1.518739E2,1.486436E2
6.342073E1,1.325454E2,1.358065E2,1.519653E2,1.517376E2,1.536484E2,1.499125E2
6.242073E1,1.395993E2,1.425351E2,1.517725E2,1.521321E2,1.533152E2,1.456924E2
6.142073E1,1.440184E2,1.466869E2,1.504039E2,1.506097E2,1.510626E2,1.402197E2
6.042073E1,1.449549E2,1.473023E2,1.480344E2,1.484193E2,1.481104E2,1.382790E2
5.942073E1,1.439029E2,1.458354E2,1.448563E2,1.467264E2,1.460865E2,1.394735E2
5.842073E1,1.432447E2,1.443804E2,1.422370E2,1.459885E2,1.464090E2,1.417602E2
5.742073E1,1.434629E2,1.434676E2,1.441624E2,1.478674E2,1.502452E2,1.459091E2
5.642073E1,1.451565E2,1.442514E2,1.509427E2,1.529414E2,1.558410E2,1.502793E2
